Boro Code	Boro Name	County Fips	Ntacode	Ntaname	Shape Area	Shape Leng	Geometry
3	Brooklyn	047	BK88	Borough Park	54005019.048	39247.2278309	MultiPolygon
4	Queens	081	QN51	Murray Hill	52488277.846	33266.9047967	MultiPolygon
4	Queens	081	QN27	East Elmhurst	19726845.6282	19816.7120736	MultiPolygon
4	Queens	081	QN07	Hollis	22887772.8652	20976.3355739	MultiPolygon
1	Manhattan	061	MN06	Manhattanville	10647077.5264	17040.6854129	MultiPolygon
3	Brooklyn	047	BK25	Homecrest	29991967.2761	27514.0229163	MultiPolygon
2	Bronx	005	BX59	Westchester-Unionport	23945209.7754	26557.4093256	MultiPolygon
2	Bronx	005	BX10	Pelham Bay-Country Club-City Island	40134533.2664	138249.43642	MultiPolygon
2	Bronx	005	BX52	Schuylerville-Throgs Neck-Edgewater Park	88439964.0442	91304.7948688	MultiPolygon
4	Queens	081	QN41	Fresh Meadows-Utopia	27774853.4174	22106.4312721	MultiPolygon
4	Queens	081	QN08	St. Albans	77412748.1103	45401.3169508	MultiPolygon
4	Queens	081	QN25	Corona	20080371.464	23870.1540264	MultiPolygon
4	Queens	081	QN06	Jamaica Estates-Holliswood	42789975.8462	35465.974926	MultiPolygon
3	Brooklyn	047	BK44	Madison	27379162.0825	26237.2578576	MultiPolygon
3	Brooklyn	047	BK41	Kensington-Ocean Parkway	15893304.9555	20800.7523568	MultiPolygon
3	Brooklyn	047	BK95	Erasmus	14522603.5915	18756.7018646	MultiPolygon
2	Bronx	005	BX33	Longwood	10732452.1794	18982.1296554	MultiPolygon
3	Brooklyn	047	BK69	Clinton Hill	20528197.1221	23971.4659049	MultiPolygon
4	Queens	081	QN33	Cambria Heights	33076797.8229	26168.2700876	MultiPolygon
3	Brooklyn	047	BK43	Midwood	35799574.385	27996.5906116	MultiPolygon
4	Queens	081	QN61	Jamaica	47308036.5451	43696.3647256	MultiPolygon
4	Queens	081	QN01	South Jamaica	39971928.9432	32122.5523568	MultiPolygon
3	Brooklyn	047	BK26	Gravesend	31341950.2807	39922.6743774	MultiPolygon
3	Brooklyn	047	BK29	Bensonhurst East	35777947.5862	33903.2454449	MultiPolygon
3	Brooklyn	047	BK72	Williamsburg	11589988.1365	16874.433846	MultiPolygon
3	Brooklyn	047	BK75	Bedford	32629788.9772	29992.9237995	MultiPolygon
3	Brooklyn	047	BK35	Stuyvesant Heights	31406935.853	28239.0807668	MultiPolygon
3	Brooklyn	047	BK46	Ocean Parkway South	17782095.7562	21975.9973189	MultiPolygon
3	Brooklyn	047	BK79	Ocean Hill	20089914.373	22494.5820937	MultiPolygon
3	Brooklyn	047	BK61	Crown Heights North	51619074.7032	35635.5432526	MultiPolygon
3	Brooklyn	047	BK63	Crown Heights South	15989888.7882	24192.4559319	MultiPolygon
3	Brooklyn	047	BK96	Rugby-Remsen Village	32706946.2815	30957.8542966	MultiPolygon
2	Bronx	005	BX31	Allerton-Pelham Gardens	31693044.3294	25467.1174229	MultiPolygon
3	Brooklyn	047	BK93	Starrett City	11598952.3241	17414.782424	MultiPolygon
3	Brooklyn	047	BK91	East Flatbush-Farragut	34360864.2711	39201.0382121	MultiPolygon
4	Queens	081	QN20	Ridgewood	50495176.2946	40608.5131977	MultiPolygon
3	Brooklyn	047	BK78	Bushwick South	40169452.3628	40735.7421787	MultiPolygon
3	Brooklyn	047	BK77	Bushwick North	24927927.1793	26321.626916	MultiPolygon
3	Brooklyn	047	BK68	Fort Greene	16482821.5391	19825.5208874	MultiPolygon
4	Queens	081	QN68	Queensbridge-Ravenswood-Long Island City	23317032.7566	27067.6528667	MultiPolygon
2	Bronx	005	BX08	West Farms-Bronx River	15084986.1763	17477.2947571	MultiPolygon
2	Bronx	005	BX46	Parkchester	9184677.03822	12411.7882095	MultiPolygon
2	Bronx	005	BX55	Soundview-Bruckner	16253358.287	19756.559654	MultiPolygon
3	Brooklyn	047	BK30	Dyker Heights	29911047.2102	30596.8453731	MultiPolygon
3	Brooklyn	047	BK23	West Brighton	8738769.00294	14113.5813669	MultiPolygon
4	Queens	081	QN18	Rego Park	19941713.5046	26675.1087317	MultiPolygon
4	Queens	081	QN19	Glendale	30016735.809	41514.4353498	MultiPolygon
2	Bronx	005	BX28	Van Cortlandt Village	25666125.0331	21945.7199829	MultiPolygon
4	Queens	081	QN26	North Corona	18000833.5597	18431.0531897	MultiPolygon
4	Queens	081	QN38	Pomonok-Flushing Heights-Hillcrest	38835956.594	30731.5920332	MultiPolygon
5	Staten Island	085	SI99	park-cemetery-etc-Staten Island	24004477.6068	46209.9336833	MultiPolygon
1	Manhattan	061	MN15	Clinton	18362149.2813	34481.6287742	MultiPolygon
5	Staten Island	085	SI12	Mariner's Harbor-Arlington-Port Ivory-Graniteville	89023935.7428	70983.8484685	MultiPolygon
4	Queens	081	QN34	Queens Village	69533432.8235	41782.401111	MultiPolygon
4	Queens	081	QN43	Bellerose	55184284.5565	32086.1508909	MultiPolygon
2	Bronx	005	BX41	Mount Hope	14716710.8463	18937.2481566	MultiPolygon
4	Queens	081	QN21	Middle Village	57684905.4349	42675.5484764	MultiPolygon
4	Queens	081	QN29	Elmhurst	32675347.5693	36711.3363025	MultiPolygon
4	Queens	081	QN66	Laurelton	39784922.186	29530.9277505	MultiPolygon
2	Bronx	005	BX62	Woodlawn-Wakefield	39738786.3858	38694.0407086	MultiPolygon
2	Bronx	005	BX07	Bronxdale	15185447.5286	17432.1761092	MultiPolygon
3	Brooklyn	047	BK85	East New York (Pennsylvania Ave)	19397526.6852	24226.851288	MultiPolygon
4	Queens	081	QN55	South Ozone Park	82461393.5332	36708.1692856	MultiPolygon
3	Brooklyn	047	BK27	Bath Beach	20534620.814	22383.7432335	MultiPolygon
3	Brooklyn	047	BK28	Bensonhurst West	46670569.5071	37137.4391704	MultiPolygon
5	Staten Island	085	SI48	Arden Heights	50410815.8531	29689.3955318	MultiPolygon
4	Queens	081	QN30	Maspeth	35633161.0002	41265.6433021	MultiPolygon
2	Bronx	005	BX44	Williamsbridge-Olinville	36273595.3766	27351.0776676	MultiPolygon
4	Queens	081	QN50	Elmhurst-Maspeth	21927665.9348	32362.8252011	MultiPolygon
4	Queens	081	QN23	College Point	50553980.6383	59454.7494972	MultiPolygon
3	Brooklyn	047	BK73	North Side-South Side	28869768.1228	28149.9799533	MultiPolygon
4	Queens	081	QN37	Kew Gardens Hills	37888713.6549	33105.8552259	MultiPolygon
4	Queens	081	QN63	Woodside	28248218.6687	27868.190344	MultiPolygon
2	Bronx	005	BX98	Rikers Island	18163827.5837	18898.1162858	MultiPolygon
5	Staten Island	085	SI28	Port Richmond	36422143.6377	39041.5463115	MultiPolygon
3	Brooklyn	047	BK81	Brownsville	32719365.874	27298.8498762	MultiPolygon
4	Queens	081	QN54	Richmond Hill	50978396.1717	33792.4655252	MultiPolygon
4	Queens	081	QN62	Queensboro Hill	26561788.1726	30549.0531617	MultiPolygon
1	Manhattan	061	MN27	Chinatown	14501868.1603	20786.2561105	MultiPolygon
5	Staten Island	085	SI01	Annadale-Huguenot-Prince's Bay-Eltingville	141057788.369	71174.5829135	MultiPolygon
1	Manhattan	061	MN25	Battery Park City-Lower Manhattan	19014298.8996	43738.4962191	MultiPolygon
4	Queens	081	QN17	Forest Hills	57827751.6644	36171.4782622	MultiPolygon
1	Manhattan	061	MN14	Lincoln Square	15805586.3147	19869.9083199	MultiPolygon
1	Manhattan	061	MN17	Midtown-Midtown South	30191534.3742	27032.7002237	MultiPolygon
1	Manhattan	061	MN40	Upper East Side-Carnegie Hill	20065364.1778	23778.4105186	MultiPolygon
4	Queens	081	QN53	Woodhaven	37000431.4008	28067.6644724	MultiPolygon
5	Staten Island	085	SI54	Great Kills	89615894.7482	66104.1369972	MultiPolygon
3	Brooklyn	047	BK60	Prospect Lefferts Gardens-Wingate	31638973.1845	29562.442687	MultiPolygon
2	Bronx	005	BX26	Highbridge	16457635.5145	18506.3101999	MultiPolygon
3	Brooklyn	047	BK21	Seagate-Coney Island	38782030.9208	51874.9555263	MultiPolygon
2	Bronx	005	BX22	North Riverdale-Fieldston-Riverdale	49048279.0908	31851.1424632	MultiPolygon
2	Bronx	005	BX29	Spuyten Duyvil-Kingsbridge	23214112.6798	27990.7883954	MultiPolygon
3	Brooklyn	047	BK40	Windsor Terrace	14041668.0662	19033.6717332	MultiPolygon
3	Brooklyn	047	BK64	Prospect Heights	10230580.6036	15073.7735152	MultiPolygon
3	Brooklyn	047	BK42	Flatbush	45254807.5045	38737.8538108	MultiPolygon
2	Bronx	005	BX27	Hunts Point	49729963.2277	44726.818498	MultiPolygon
3	Brooklyn	047	BK50	Canarsie	82098856.6052	43718.6663539	MultiPolygon
3	Brooklyn	047	BK58	Flatlands	54341776.2037	40635.2753424	MultiPolygon
4	Queens	081	QN44	Glen Oaks-Floral Park-New Hyde Park	45666940.6586	33596.4731596	MultiPolygon
4	Queens	081	QN45	Douglas Manor-Douglaston-Little Neck	68394169.9309	45784.4580918	MultiPolygon
2	Bronx	005	BX06	Belmont	13557339.8678	17114.2689711	MultiPolygon
4	Queens	081	QN35	Briarwood-Jamaica Hills	29301607.0735	30038.1706802	MultiPolygon
4	Queens	081	QN60	Kew Gardens	20568333.5248	21449.7515557	MultiPolygon
2	Bronx	005	BX09	Soundview-Castle Hill-Clason Point-Harding Park	51983797.5021	67340.979386	MultiPolygon
4	Queens	081	QN28	Jackson Heights	47856882.6191	29422.388736	MultiPolygon
3	Brooklyn	047	BK37	Park Slope-Gowanus	42509226.2265	31476.8090877	MultiPolygon
5	Staten Island	085	SI11	Charleston-Richmond Valley-Tottenville	145674612.034	84848.4552104	MultiPolygon
5	Staten Island	085	SI32	Rossville-Woodrow	64963357.8475	33247.2589012	MultiPolygon
3	Brooklyn	047	BK83	Cypress Hills-City Line	27609750.6294	35565.8302527	MultiPolygon
1	Manhattan	061	MN03	Central Harlem North-Polo Grounds	25403484.0523	27983.8841758	MultiPolygon
3	Brooklyn	047	BK82	East New York	117025692.345	87941.1668179	MultiPolygon
1	Manhattan	061	MN32	Yorkville	13602064.1394	17998.7208473	MultiPolygon
4	Queens	081	QN48	Auburndale	34164915.0766	32452.059277	MultiPolygon
4	Queens	081	QN52	East Flushing	29453683.4814	25848.5454175	MultiPolygon
2	Bronx	005	BX34	Melrose South-Mott Haven North	17271780.7454	19589.1972813	MultiPolygon
2	Bronx	005	BX39	Mott Haven-Port Morris	41898533.756	35603.7332816	MultiPolygon
1	Manhattan	061	MN22	East Village	10894316.1206	13555.2394514	MultiPolygon
1	Manhattan	061	MN28	Lower East Side	23297284.6034	25466.6913743	MultiPolygon
2	Bronx	005	BX01	Claremont-Bathgate	16451615.8188	29972.7771745	MultiPolygon
2	Bronx	005	BX35	Morrisania-Melrose	16891753.6409	27740.8461543	MultiPolygon
2	Bronx	005	BX75	Crotona Park East	16319724.9325	24813.241466	MultiPolygon
1	Manhattan	061	MN21	Gramercy	7526926.67975	12096.8955125	MultiPolygon
1	Manhattan	061	MN01	Marble Hill-Inwood	17732688.6686	31844.4094218	MultiPolygon
1	Manhattan	061	MN24	SoHo-TriBeCa-Civic Center-Little Italy	25032687.72	26855.032328	MultiPolygon
1	Manhattan	061	MN23	West Village	24970650.174	28621.6509909	MultiPolygon
3	Brooklyn	047	BK09	Brooklyn Heights-Cobble Hill	9983620.46912	14264.786528	MultiPolygon
1	Manhattan	061	MN13	Hudson Yards-Chelsea-Flatiron-Union Square	37068381.7934	45693.0745991	MultiPolygon
2	Bronx	005	BX40	Fordham South	6308875.21305	15880.3520703	MultiPolygon
1	Manhattan	061	MN12	Upper West Side	34379942.4967	29160.2062801	MultiPolygon
2	Bronx	005	BX43	Norwood	15724928.3207	22150.3082205	MultiPolygon
2	Bronx	005	BX05	Bedford Park-Fordham North	14998883.4758	22565.481193	MultiPolygon
2	Bronx	005	BX03	Eastchester-Edenwald-Baychester	40256794.2545	59164.9993069	MultiPolygon
2	Bronx	005	BX13	Co-op City	39833695.0031	30327.1281411	MultiPolygon
2	Bronx	005	BX17	East Tremont	19255162.7273	29633.1365327	MultiPolygon
3	Brooklyn	047	BK17	Sheepshead Bay-Gerritsen Beach-Manhattan Beach	63341499.7731	91051.0337308	MultiPolygon
3	Brooklyn	047	BK19	Brighton Beach	17180137.7598	21060.1696642	MultiPolygon
4	Queens	081	QN10	Breezy Point-Belle Harbor-Rockaway Park-Broad Channel	99436037.0363	114095.11999	MultiPolygon
4	Queens	081	QN12	Hammels-Arverne-Edgemere	61894959.511	83804.7314106	MultiPolygon
5	Staten Island	085	SI08	Grymes Hill-Clifton-Fox Hills	37752553.3783	37119.8996244	MultiPolygon
4	Queens	081	QN03	Springfield Gardens South-Brookville	43288489.6495	45322.1230855	MultiPolygon
4	Queens	081	QN05	Rosedale	61569261.1514	64163.7233951	MultiPolygon
5	Staten Island	085	SI37	Stapleton-Rosebank	46432646.3251	55208.9369737	MultiPolygon
5	Staten Island	085	SI25	Oakwood-Oakwood Beach	55961883.7536	44299.0322629	MultiPolygon
5	Staten Island	085	SI45	New Dorp-Midland Beach	55429451.1208	34336.5209048	MultiPolygon
3	Brooklyn	047	BK90	East Williamsburg	39132793.8204	49247.0269687	MultiPolygon
5	Staten Island	085	SI14	Grasmere-Arrochar-Ft. Wadsworth	40925777.4945	39940.2755343	MultiPolygon
4	Queens	081	QN70	Astoria	39335513.5876	32534.7384018	MultiPolygon
5	Staten Island	085	SI36	Old Town-Dongan Hills-South Beach	67009381.2747	41971.5825515	MultiPolygon
4	Queens	081	QN15	Far Rockaway-Bayswater	54160419.8772	48684.4167963	MultiPolygon
3	Brooklyn	047	BK38	DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill	28477918.5654	32542.899936	MultiPolygon
3	Brooklyn	047	BK45	Georgetown-Marine Park-Bergen Beach-Mill Basin	69463730.9832	91993.5647903	MultiPolygon
3	Brooklyn	047	BK99	park-cemetery-etc-Brooklyn	228839409.837	394685.418858	MultiPolygon
2	Bronx	005	BX49	Pelham Parkway	23032576.1419	25823.0368861	MultiPolygon
2	Bronx	005	BX99	park-cemetery-etc-Bronx	220841105.286	223443.676824	MultiPolygon
1	Manhattan	061	MN50	Stuyvesant Town-Cooper Village	5582283.01555	12021.7903016	MultiPolygon
2	Bronx	005	BX37	Van Nest-Morris Park-Westchester Square	36302379.2565	42870.3928034	MultiPolygon
3	Brooklyn	047	BK33	Carroll Gardens-Columbia Street-Red Hook	44601379.2315	60820.884163	MultiPolygon
3	Brooklyn	047	BK76	Greenpoint	35321995.7927	28914.3549129	MultiPolygon
1	Manhattan	061	MN20	Murray Hill-Kips Bay	14485874.7728	24491.3105701	MultiPolygon
1	Manhattan	061	MN04	Hamilton Heights	16096135.9589	17411.3817116	MultiPolygon
4	Queens	081	QN46	Bayside-Bayside Hills	80798589.9493	43020.7879368	MultiPolygon
2	Bronx	005	BX14	East Concourse-Concourse Village	18222401.6418	27223.8471825	MultiPolygon
2	Bronx	005	BX63	West Concourse	19379817.3597	28499.0446439	MultiPolygon
1	Manhattan	061	MN36	Washington Heights South	23092823.9817	22106.4236458	MultiPolygon
1	Manhattan	061	MN35	Washington Heights North	22667347.4075	26683.663268	MultiPolygon
1	Manhattan	061	MN09	Morningside Heights	20155865.4461	20746.0584556	MultiPolygon
1	Manhattan	061	MN33	East Harlem South	16650687.5711	18624.6648078	MultiPolygon
1	Manhattan	061	MN19	Turtle Bay-East Midtown	17389163.8259	21124.0541871	MultiPolygon
4	Queens	081	QN31	Hunters Point-Sunnyside-West Maspeth	102421815.209	74592.1426116	MultiPolygon
5	Staten Island	085	SI07	Westerleigh	63253932.165	41658.0970785	MultiPolygon
4	Queens	081	QN98	Airport	228199205.622	136232.037479	MultiPolygon
1	Manhattan	061	MN31	Lenox Hill-Roosevelt Island	21508615.7643	39424.2257068	MultiPolygon
4	Queens	081	QN71	Old Astoria	15619597.0682	19366.2170192	MultiPolygon
1	Manhattan	061	MN99	park-cemetery-etc-Manhattan	91543352.4533	155354.846681	MultiPolygon
4	Queens	081	QN72	Steinway	57724460.8646	43563.1489927	MultiPolygon
4	Queens	081	QN47	Ft. Totten-Bay Terrace-Clearview	46292591.442	39625.8426939	MultiPolygon
5	Staten Island	085	SI05	New Springville-Bloomfield-Travis	327768572.857	109207.918417	MultiPolygon
5	Staten Island	085	SI24	Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill	184881509.085	75942.0025573	MultiPolygon
1	Manhattan	061	MN11	Central Harlem South	14439304.6396	16621.0233368	MultiPolygon
1	Manhattan	061	MN34	East Harlem North	24494898.4181	30603.7188842	MultiPolygon
3	Brooklyn	047	BK34	Sunset Park East	27110066.4579	25901.8257638	MultiPolygon
4	Queens	081	QN22	Flushing	37865073.0677	38362.7281454	MultiPolygon
4	Queens	081	QN49	Whitestone	69050705.9085	62139.0472123	MultiPolygon
4	Queens	081	QN02	Springfield Gardens North	28432652.7391	25437.0618659	MultiPolygon
4	Queens	081	QN76	Baisley Park	44038576.4431	31478.4381297	MultiPolygon
4	Queens	081	QN42	Oakland Gardens	51009679.3418	42410.067721	MultiPolygon
4	Queens	081	QN99	park-cemetery-etc-Queens	311688895.037	490742.022293	MultiPolygon
2	Bronx	005	BX30	Kingsbridge Heights	13163119.0745	21108.8106723	MultiPolygon
3	Brooklyn	047	BK31	Bay Ridge	67181046.7913	44375.5667672	MultiPolygon
3	Brooklyn	047	BK32	Sunset Park West	49990015.9756	83323.5060671	MultiPolygon
4	Queens	081	QN56	Ozone Park	25016839.186	24731.6990843	MultiPolygon
4	Queens	081	QN57	Lindenwood-Howard Beach	64558946.5305	79085.800116	MultiPolygon
2	Bronx	005	BX36	University Heights-Morris Heights	21255485.4646	24100.4320396	MultiPolygon
5	Staten Island	085	SI35	New Brighton-Silver Lake	47137243.9734	30320.3749733	MultiPolygon
5	Staten Island	085	SI22	West New Brighton-New Brighton-St. George	56030445.1294	66054.2514844	MultiPolygon
